DateKey,Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName,DayType
20200101,2020-01-01,2020,1,1,January,1,4,Wednesday,Weekday
20200102,2020-01-02,2020,1,1,January,2,5,Thursday,Weekday
20200103,2020-01-03,2020,1,1,January,3,6,Friday,Weekday
20200104,2020-01-04,2020,1,1,January,4,7,Saturday,Weekend
20200105,2020-01-05,2020,1,1,January,5,1,Sunday,Weekend
20200106,2020-01-06,2020,1,1,January,6,2,Monday,Weekday
20200107,2020-01-07,2020,1,1,January,7,3,Tuesday,Weekday
20200108,2020-01-08,2020,1,1,January,8,4,Wednesday,Weekday
20200109,2020-01-09,2020,1,1,January,9,5,Thursday,Weekday
20200110,2020-01-10,2020,1,1,January,10,6,Friday,Weekday
20200111,2020-01-11,2020,1,1,January,11,7,Saturday,Weekend
20200112,2020-01-12,2020,1,1,January,12,1,Sunday,Weekend
20200113,2020-01-13,2020,1,1,January,13,2,Monday,Weekday
20200114,2020-01-14,2020,1,1,January,14,3,Tuesday,Weekday
20200115,2020-01-15,2020,1,1,January,15,4,Wednesday,Weekday
20200116,2020-01-16,2020,1,1,January,16,5,Thursday,Weekday
20200117,2020-01-17,2020,1,1,January,17,6,Friday,Weekday
20200118,2020-01-18,2020,1,1,January,18,7,Saturday,Weekend
20200119,2020-01-19,2020,1,1,January,19,1,Sunday,Weekend
20200120,2020-01-20,2020,1,1,January,20,2,Monday,Weekday
20200121,2020-01-21,2020,1,1,January,21,3,Tuesday,Weekday
20200122,2020-01-22,2020,1,1,January,22,4,Wednesday,Weekday
20200123,2020-01-23,2020,1,1,January,23,5,Thursday,Weekday
20200124,2020-01-24,2020,1,1,January,24,6,Friday,Weekday
20200125,2020-01-25,2020,1,1,January,25,7,Saturday,Weekend
20200126,2020-01-26,2020,1,1,January,26,1,Sunday,Weekend
20200127,2020-01-27,2020,1,1,January,27,2,Monday,Weekday
20200128,2020-01-28,2020,1,1,January,28,3,Tuesday,Weekday
20200129,2020-01-29,2020,1,1,January,29,4,Wednesday,Weekday
20200130,2020-01-30,2020,1,1,January,30,5,Thursday,Weekday
20200131,2020-01-31,2020,1,1,January,31,6,Friday,Weekday
20200201,2020-02-01,2020,1,2,February,1,7,Saturday,Weekend
20200202,2020-02-02,2020,1,2,February,2,1,Sunday,Weekend
20200203,2020-02-03,2020,1,2,February,3,2,Monday,Weekday
20200204,2020-02-04,2020,1,2,February,4,3,Tuesday,Weekday
20200205,2020-02-05,2020,1,2,February,5,4,Wednesday,Weekday
